"fact_id","fact_statement","owning_artifact_id","may_also_appear_in","must_not_appear_in","demo_question"
"F-DASH9","Nine dashboards are in scope at go-live: the seven committed plus D04 Scheme Effectiveness and D11 Credit and Receivables Exposure.","DK-06","T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
"F-DASH9-REASON","Reason two dashboards come back: D04 and D11 are reinstated at Klarissen's request following the credit note escalation and the scheme discount work, funded from the Phase 2 budget line released in August.","T-08","DK-06","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
"F-DASH-CANDIDATES","The August workshop closes at seven committed plus two candidates, not funded, decision deferred to the sponsor. DK-05 shows seven wireframes plus two marked CANDIDATE - not funded. Neither artifact reaches the number nine.","T-07","DK-05","T-01; T-02; T-03; T-04; T-05; T-06; T-08; DK-01; DK-02; DK-03; DK-04; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
"F-CN-STRUCT","BCPL_EDW contains no FACT_CREDIT_NOTE table. This is an ABSENCE, evidenced structurally: schema_edw.sql lists every table in the warehouse and there is no credit note fact among them. Do not add a comment drawing attention to it, do not add a TODO, do not add a commented-out CREATE TABLE. The absence must be silent.","TECH-SQL-EDW","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-CN-SOURCE","OMS_PROD.CREDIT_NOTE and OMS_PROD.CREDIT_NOTE_LINE exist in ORION, with CN_TYPE in DAMAGE, RETURN, RATE_DIFF, OFF_INV_ADJ and SCHEME. FY26 volume 9,318 documents and 31,204 lines.","TECH-SQL-OLTP","DOC-01; DOC-05; EM-063","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-02; DOC-03; DOC-04; XL-01; XL-02; XL-03; XL-04; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-CN-ESCALATION","Marijke van der Berg escalates the missing credit notes to Rajeev Menon on 14-Jul-2026, copying Shalini Iyer and Wei Lin Tan, asking since when this has been known, for the FY26 number and for an owner, before the next audit call.","EM-061","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-CN-24","The credit note impact is estimated at INR 2.4 Cr. This is the early, wrong figure. It appears on a DK-03 slide of 05-May-2026 and is repeated once in T-06 by Shalini Iyer. It is never marked as provisional in DK-03.","DK-03","T-06","T-01; T-02; T-03; T-04; T-05; T-07; T-08; DK-01; DK-02; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-CN-31","The validated FY26 credit note impact is INR 3.11 Cr (INR 3,11,20,000) across 1,206 documents of type RATE_DIFF and OFF_INV_ADJ, validated by Shalini Iyer against the FY26 trial balance on 21-Jul-2026. XL-01 carries 3.11 Cr on the VAR-005_detail sheet and 3.10 Cr on the Summary sheet; keep that rounding difference.","EM-063","XL-01; DK-06; T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-CN-METHOD","Why the 2.4 Cr estimate was wrong: it covered April 2025 to December 2025 only, and it excluded the OFF_INV_ADJ credit note type entirely.","EM-063","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-VAR005-TITLE","VAR-005 exists and is titled 'Credit notes absent from warehouse', owner Shalini Iyer, status Open, opened 24-Apr-2026. Naming the variance is permitted in the artifacts listed. Explaining WHY there is no table, or that Finance nets them in Excel, is F-CNGAP and belongs to DOC-05 alone.","XL-01","DOC-05; DK-03; T-06; T-08; DK-06; EM-061; EM-063; CH-01","T-01; T-02; T-03; T-04; T-05; T-07; DK-01; DK-02; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-STG-CN-DORMANT","STG_ORION.STG_CREDIT_NOTE exists and is empty. Its mapping MAP_STG_CREDIT_NOTE was built in 2021 and disabled on 14-Nov-2022 when the load window got tight; the last row carries LOAD_DT = 14-NOV-2022. Nothing downstream ever consumed it.","DOC-02","TECH-SQL-EDW; TECH-CTLM; CH-01","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q5"
"F-Q6-ABSENT","THE DECISION TO DEFER FACT_CREDIT_NOTE TO PHASE 2 AND NET CREDIT NOTES INSIDE THE POWER BI SEMANTIC MODEL IN THE INTERIM. Taken verbally in early October 2026 between Shalini Iyer, Karthik Subramanian and Ananya Krishnan. IT APPEARS NOWHERE IN THE CORPUS AND MUST APPEAR NOWHERE. No artifact may say that credit notes will be netted in Power BI, that a credit note fact table is deferred, that D11 will source credit notes from a Finance file or a manual upload, or that VAR-005 has an agreed forward plan. If an artifact must discuss D11's data, it says receivables ageing from AR_OPEN_ITEM and stops there. This is the write-back test.","NONE","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q6"
"F-LOADSTART","The nightly load LP_DAILY_SALES starts at 01:00 IST, average elapsed 58 minutes to the last mapping, typical completion including post-load checks and the batch close about 02:05 IST, P95 71 minutes, SLA 05:30 IST. Shared fact, widely available. Stating the start time and the completion time is fine anywhere listed; stating what runs AFTER the load is F-TIMING and is not.","DOC-02","TECH-CTLM; DOC-03; T-01; T-02; T-04; XL-03; EM-041; EM-047; CH-01; DK-02; DOC-05; XL-04","T-03; T-05; T-06; T-07; T-08; DK-01; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-04; XL-01; XL-02; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR001-CAUSE","VAR-001: MAP_FACT_INVOICE_LINE applied no DELETE_FLAG filter, so cancelled and logically deleted invoice lines were loaded as revenue; FY26 Q1 overstated by INR 4.2 Cr. Fixed by NVL(DELETE_FLAG,'N')='N' under CHG0021184 on 03-Jun-2026.","DK-02","T-03; T-04; T-05; T-06; T-08; DK-03; DK-04; DK-06; XL-01; XL-02; XL-04; TECH-ODI-XML; CH-01; EM-072","T-01; T-02; T-07; DK-01; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-03; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR002-CAUSE","VAR-002: DATE_KEY derived from INVOICE_HEADER.CREATED_TS which is written in UTC, instead of INVOICE_DT which is IST, so invoices raised after 18:30 IST on a month's last day fell into the next month. INR 90 L. Fixed under ADR-005 and CHG0021207 on 03-Jun-2026.","DK-02","T-03; T-04; T-05; DK-03; DK-04; XL-01; XL-02; XL-04; DOC-04; TECH-ODI-XML; CH-01","T-01; T-02; T-06; T-07; T-08; DK-01; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-03; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-VAR004-CAUSE","VAR-004: on a territory reassignment the closing DIM_CUSTOMER row's EFF_END_DT is set to the same timestamp as the new row's EFF_START_DT and CURRENT_FLG stays 'Y' on both, so a fact row joins twice. 61 customers with overlapping effective dates, 18 with two current rows. INR 65 L. Worked example DIST-W-0241 Mahalaxmi Distributors, 17-Apr-2026.","DK-04","XL-01; XL-02; T-06; T-08; CH-01; EM-055; DOC-04","T-01; T-02; T-03; T-04; T-05; T-07; DK-01; DK-02; DK-03; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-VAR006-CAUSE","VAR-006: BCPL_EDW.TAX_RATE_MASTER is a truncate-and-reload snapshot with no effective dating, so the Chandanaa HSN 3401 change from 18 percent to 12 percent effective 01-Oct-2025 was applied retrospectively to April to September 2025. INR 40 L. Replaced by DIM_TAX_RATE under CHG0021339 on 26-Aug-2026.","DK-04","XL-01; XL-02; T-06; EM-078; CH-01; TECH-SQL-EDW","T-01; T-02; T-03; T-04; T-05; T-07; T-08; DK-01; DK-02; DK-03; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-03; XL-04; TECH-SQL-OLTP; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-VAR007-CAUSE","VAR-007: no late-arriving dimension handling, so a SKU invoiced before MAP_DIM_PRODUCT has seen it routes to PRODUCT_KEY = -1 and stays there. 2.0 percent of invoiced volume, 8,140 lines a month average, 11,902 peak in Jan-2026, fails DQ-R-04 at 98.0 percent against a 99.5 percent threshold.","DK-04","XL-01; XL-02; T-06; T-07; EM-081; CH-01; DK-05","T-01; T-02; T-03; T-04; T-05; T-08; DK-01; DK-02; DK-03; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-VAR008-CAUSE","VAR-008: LP_DAILY_SALES was resubmitted manually after a failure on Saturday 14-Feb-2026 as session SESS_884012 and IKM Oracle Control Append appended the whole night again, putting INR 2.9 Cr of duplicate sales into the February figures for three weeks. Batch-id guard added in R2026.07.","DK-02","EM-072; XL-01; T-03; T-06; CH-01; DOC-02; DK-06","T-01; T-02; T-04; T-05; T-07; T-08; DK-01; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-TOTAL-970","Total quantified variance stated as INR 9.70 Cr (VAR-001, VAR-002, VAR-003, VAR-008).","DK-02","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-TOTAL-1275","Total quantified variance stated as INR 12.75 Cr, including VAR-005 at the early 2.4 Cr.","DK-03","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-TOTAL-1315","Total quantified variance stated as INR 13.15 Cr, with VAR-007 given as a volume percentage rather than money.","DK-04","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-TOTAL-1385","Total quantified variance stated as INR 13.85 Cr, of which INR 8.40 Cr closed and INR 5.45 Cr open.","DK-06","XL-01; T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-Q1REV-ORIG","FY26 Q1 reported net revenue is INR 438.6 Cr as the warehouse reported it before the VAR-001 fix.","DK-02","T-03; DK-03; XL-01; T-06; EM-072","T-01; T-02; T-04; T-05; T-07; T-08; DK-01; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-Q1REV-RESTATED","FY26 Q1 net revenue restated to INR 434.4 Cr after CHG0021184.","XL-01","DK-06; T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-GRANT","FIN_PROD holds a direct UPDATE grant on OMS_PROD.INVOICE_LINE, granted in 2014 and never reviewed. This is a breadcrumb, not the answer: it says who could rewrite invoice lines, never when or in what order.","DOC-01","TECH-SQL-OLTP; T-02; DOC-03; EM-092; CH-01","T-01; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; DOC-02; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-DEV-STALE","The DEV copy of ORION was last refreshed on 11-Mar-2026 and is stale for the rest of the engagement.","CH-01","EM-047; T-06; XL-03","T-01; T-02; T-03; T-04; T-05; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PROFDATE","All profiling figures in the corpus are as of the 31-May-2026 run across 14 tables.","XL-02","DK-04; T-06; EM-078; EM-081; CH-01","T-01; T-02; T-03; T-04; T-05; T-07; T-08; DK-01; DK-02; DK-03; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-DQSCORE","Overall data quality score 71 out of 100, by dimension completeness 68, validity 74, consistency 66, uniqueness 79, timeliness 91. 24 rules defined, 9 failing.","DK-04","XL-02; T-06; T-08","T-01; T-02; T-03; T-04; T-05; T-07; DK-01; DK-02; DK-03; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-SECONDARY-COVERAGE","FACT_SECONDARY_SALES is loaded from the DMS upload and covers 74 percent of distributors with a five day lag. This incompleteness is a standing caveat and is part of why Vikram Sethi's numbers do not tie to anyone else's.","XL-02","T-07; DK-05; EM-081; DOC-05; CH-01; T-03","T-01; T-02; T-04; T-05; T-06; T-08; DK-01; DK-02; DK-03; DK-04; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; XL-01; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-DOCTYPE-MIX","INVOICE_HEADER.DOC_TYPE distribution: INV 94.7 percent, STN 4.7 percent, SMP 0.6 percent. Stating the distribution is fine. Stating that STN is excluded from the fact is F-CHATDEC and is not.","DOC-01","XL-02; XL-04; TECH-CSV; TECH-SQL-OLTP","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-03; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-SMP-FILTER","MAP_FACT_INVOICE_LINE excludes sample despatches with the filter DOC_TYPE <> 'SMP'. This is the DOCUMENTED filter and exists precisely to contrast with the undocumented STN decision.","XL-04","TECH-ODI-XML; DOC-02","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
"F-PBI-REFRESH","Power BI dataset DRISHTI_SALES, import mode, in workspace BCPL-DRISHTI-PRD on P1 capacity, refreshed 06:00 and 14:00 IST, row-level security by REGION_CODE across four roles.","DK-05","T-07; DK-06; CH-01; EM-089","T-01; T-02; T-03; T-04; T-05; T-06; T-08; DK-01; DK-02; DK-03; DK-04; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","-"
